q_scary,q_dream,q_desktop,q_better,q_remind,q_quote,q_sell,q_temperature,q_story,user_id,label
1 - Not Scary,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",0.0,30,"When people want multi-task something, they grow more body parts to achieve doing all the tasks at the same time, playing, working and dancing, keeping their life busy and efficient. The downside of it people dies fast from the reproduction of cells.",310448,1
4,2,2,"People,Cars,Cats,Fireworks,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",3.0,46.89,A rare gem. This work of art is claimed to be a forgotten work by Salvador Dali.,415138,1
,,,,,"""And you're gonna hear me roar"" ~ Katy Perry=>,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>,""Another one"" ~ DJ Khaled=>,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>",,,nan,204814,1
6,2,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",10.0,30," competition is going on and some creepy things happened. A boy was carrying the  to the net, and a boy on the other team came to defend. They hit together, and one of the boys just melted like ice cream on the grass.",410821,1
,,,,,"""And you're gonna hear me roar"" ~ Katy Perry=>,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>,""Another one"" ~ DJ Khaled=>,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>",,,nan,412195,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,"Cars,Cats,Explosions",Teacher,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",0.0,56,nan,398257,1
2,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",10.0,30,nan,188564,1
8,1 - Not Likely,1 - Not Likely,,,"""And you're gonna hear me roar"" ~ Katy Perry=>,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>,""Another one"" ~ DJ Khaled=>,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>",,,nan,412973,1
5,2,1 - Not Likely,"Cats,Explosions",Siblings,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",0.0,26.1,"It was horrifying what happened. I couldn't believe what I was seeing.  I saw three when there was only supposed to be 2.  I don't know what I should be doing. Should I seek help? It looks like everyone saw the same thing. The third was done for. Lying down on the place filled with warm colors. I see shades of red, orange and a hint of yellow. The blue contrasted the whole scene along with the object of white spots on a black sphere.  Some parts of the black were coming from the one on that area. I'm not sure how this whole situation occurred but I do know I have to get out here at once.",318044,1
2,2,1 - Not Likely,"Cats,Fireworks",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",10.0,28,"Playing games on the surface of lava makes living things grow differently from before, this guy grows the third leg. ",316275,1
